"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03042";"AMAJARI";"7";"7";"Deputado Estadual";"230000608359";"22333";"OHANNA KALYZE BRASIL DIAS";"OHANNA BRASIL";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PR";"Partido da República";"230000050217";"RENOVAÇÃO DEMOCRÁTICA II";"PRTB / PR";"5";"SUPLENTE";"N";"11"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03077";"BONFIM";"5";"7";"Deputado Estadual";"230000616419";"11111";"FRANCISCO JOSÉ BRITO BEZERRA";"BRITO BEZERRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000050438";"NA LUTA POR RORAIMA II";"PDT / PP / PC do B";"2";"ELEITO POR QP";"N";"68"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03107";"UIRAMUTÃ";"7";"6";"Deputado Federal";"230000606191";"1717";"ANTONIO CARLOS NICOLETTI";"NICOLETTI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"17";"PSL";"Partido Social Liberal";"230000050174";"RORAIMA ACIMA DE TUDO";"PSL / PRB / PTC / PSC";"3";"ELEITO POR MÉDIA";"N";"8"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"6";"Deputado Federal";"230000606191";"1717";"ANTONIO CARLOS NICOLETTI";"NICOLETTI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"17";"PSL";"Partido Social Liberal";"230000050174";"RORAIMA ACIMA DE TUDO";"PSL / PRB / PTC / PSC";"3";"ELEITO POR MÉDIA";"N";"6848"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03158";"SÃO LUIZ";"4";"7";"Deputado Estadual";"230000616033";"14456";"ELENITA SOUSA TAVARES";"LENITA S.O.S ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"14";"PTB";"Partido Trabalhista Brasileiro";"230000050429";"SOMOS TODOS RORAIMA";"PTB / REDE / PT";"5";"SUPLENTE";"N";"1"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"7";"Deputado Estadual";"230000608344";"22555";"ANTONIO DE SOUSA ARAUJO";"ANTÔNIO SOUSA RADIALISTA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PR";"Partido da República";"230000050217";"RENOVAÇÃO DEMOCRÁTICA II";"PRTB / PR";"5";"SUPLENTE";"N";"39"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03123";"PACARAIMA";"7";"7";"Deputado Estadual";"230000616420";"11333";"JOSÉ REINALDO PEREIRA DA SILVA";"ZÉ REINALDO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000050438";"NA LUTA POR RORAIMA II";"PDT / PP / PC do B";"5";"SUPLENTE";"N";"21"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03123";"PACARAIMA";"7";"7";"Deputado Estadual";"230000622378";"35321";"JOSE HAMILTON GOMES LOUREIRO NETO";"NETO LOUREIRO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"230000050595";"PARTIDO ISOLADO";"PMB";"2";"ELEITO POR QP";"N";"8"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"7";"Deputado Estadual";"230000622375";"35111";"WEULLER JACKSON LOPES DOS PASSOS";"FALCÃO DA ACADEMIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"230000050595";"PARTIDO ISOLADO";"PMB";"5";"SUPLENTE";"N";"3"
"18/08/2019";"19:34:30";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"RR";"RR";"RORAIMA";"03123";"PACARAIMA";"7";"7";"Deputado Estadual";"230000602176";"15123";"JOILMA TEODORA DE ARAÚJO SILVA";"JOILMA TEODORA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"230000050059";"PARTIDO ISOLADO";"MDB";"5";"SUPLENTE";"N";"60"
